folder,sample,E_g_eV,E_g_R2,E_g_conf,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end
cdefects_data/cdefects_002_data,u1-w0-cns,2.0933,0.998928,medium,90.67,0.981090,medium,0.000000,invalid,2.8519,3.1180,1.8460,1.9837,1.5000,1.5933
cdefects_data/cdefects_003_data,bulk-g-c3n4,2.2609,0.993726,low,195.69,0.999890,high,0.026973,high,2.7060,2.9702,1.9551,2.1180,1.5000,1.7609
cdefects_data/cdefects_003_data,g-c3n4-v,2.6601,0.985211,low,227.18,0.999863,high,0.018350,high,2.9147,3.1736,2.1705,2.3370,1.6601,2.1601
cdefects_data/cdefects_004_data,v-g-c3n4,2.6290,0.987477,low,643.66,0.999874,high,0.151991,high,2.9799,3.1734,2.3706,2.5467,1.6290,2.1290
cdefects_data/cdefects_006_data,scnnss,2.4667,0.999673,high,81.95,0.995195,high,0.030264,medium,2.7737,3.1710,2.2565,2.3796,1.5000,1.9667
cdefects_data/cdefects_007_data,cn-at,2.1585,0.991967,low,260.27,0.997308,high,0.026233,medium,2.7460,3.0605,1.9074,2.0437,1.5000,1.6585
cdefects_data/cdefects_007_data,cn-atas,2.2601,0.998028,medium,381.62,0.998402,high,0.046413,high,2.8369,3.1498,1.9477,2.0801,1.5000,1.7601
cdefects_data/cdefects_007_data,cn-mix1,2.1624,0.993449,low,208.09,0.991305,medium,0.027942,medium,2.7204,3.0025,1.8815,2.0647,1.5000,1.6624
cdefects_data/cdefects_007_data,cn-mix3,2.3203,0.979660,low,270.21,0.999904,high,0.043824,high,2.8512,3.1554,1.9779,2.1166,1.5000,1.8203
cdefects_data/cdefects_007_data,cn-mix5,2.2710,0.992015,low,154.44,0.999444,high,0.045894,high,2.7568,3.0714,1.8960,2.0228,1.5000,1.7710
cdefects_data/cdefects_010_data,g-c3n4,2.5441,0.992825,low,270.86,0.999213,high,0.004343,high,2.7595,3.0168,2.3184,2.4464,1.5441,2.0441
cdefects_data/cdefects_010_data,ns-g-c3n4,2.5363,0.998120,medium,412.98,0.998811,high,0.028524,high,2.9455,3.1718,2.3251,2.4539,1.5363,2.0363
cdefects_data/cdefects_012_data,t500,2.4922,0.995754,low,490.68,0.999931,high,0.082392,high,2.8099,3.0459,2.1582,2.3991,1.5000,1.9922
cdefects_data/cdefects_012_data,tn500,2.5769,0.995659,low,516.44,0.999931,high,0.086067,high,2.8315,3.0713,2.1632,2.3399,1.5769,2.0769
cdefects_data/cdefects_013_data,bulk-cn,2.5131,0.994178,low,226.10,0.999803,high,0.000056,high,2.7503,2.9853,2.2178,2.3408,1.5131,2.0131
cdefects_data/cdefects_013_data,bulk-cvcn,2.4261,0.995911,low,286.57,0.999879,high,0.000198,high,2.7234,2.9390,2.0393,2.1873,1.5000,1.9261
cyanodefects/cyanodefects_data/cyanodefects_003_data,coc30,2.3018,0.989597,low,287.80,0.998406,high,0.061984,high,2.9453,3.2518,1.8922,2.0372,1.5000,1.8018
cyanodefects/cyanodefects_data/cyanodefects_003_data,gcn,2.6265,0.994681,low,254.06,0.999882,high,0.004643,high,2.8566,3.1243,2.1792,2.3738,1.6265,2.1265
cyanodefects/cyanodefects_data/cyanodefects_004_data,5bacn-c3n4,2.3936,0.993280,low,139.40,0.999559,high,0.000633,low,2.8960,3.1288,2.0722,2.3014,1.5000,1.8936
cyanodefects/cyanodefects_data/cyanodefects_004_data,7bacn-c3n4,2.3273,0.991324,low,141.04,0.999246,high,0.000000,invalid,2.8983,3.1406,2.0457,2.1965,1.5000,1.8273
cyanodefects/cyanodefects_data/cyanodefects_007_data,cn-h,2.3540,0.990272,low,264.65,0.998872,high,0.112546,high,2.7979,3.0961,1.8406,2.0064,1.5000,1.8540
cyanodefects/cyanodefects_data/cyanodefects_007_data,cn,2.4367,0.989225,low,247.02,0.998383,high,0.071865,high,2.7769,3.0027,1.9052,2.2219,1.5000,1.9367
cyanodefects/cyanodefects_data/cyanodefects_007_data,mm-h,2.3864,0.994658,low,337.22,0.996620,high,0.121855,high,2.7712,3.0253,2.1101,2.2909,1.5000,1.8864
cyanodefects/cyanodefects_data/cyanodefects_010_data,bcn,2.5563,0.996616,low,147.47,0.992253,medium,0.000000,invalid,2.7722,2.9868,2.2566,2.3806,1.5563,2.0563
cyanodefects/cyanodefects_data/cyanodefects_010_data,ms-450,2.5737,0.998387,medium,140.59,0.996132,high,0.000000,invalid,2.8564,3.0763,2.2627,2.4171,1.5737,2.0737
cyanodefects/cyanodefects_data/cyanodefects_010_data,ms-500,2.5960,0.997944,medium,163.47,0.996649,high,0.000000,invalid,2.7710,2.9049,2.3454,2.4870,1.5960,2.0960
cyanodefects/cyanodefects_data/cyanodefects_010_data,ms-600,2.7891,0.997349,medium,268.91,0.998866,high,0.025558,high,3.0963,3.3130,2.5595,2.6960,1.7891,2.2891
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-300,2.5113,0.994609,low,410.91,0.999984,high,0.042933,high,2.8088,3.0083,2.2348,2.3720,1.5113,2.0113
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-350,2.3649,0.994131,low,350.13,0.999786,high,0.028950,high,2.8467,3.0820,2.1125,2.2346,1.5000,1.8649
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-400,2.1803,0.993038,low,279.71,0.999579,high,0.046346,high,2.8383,3.1199,1.9584,2.0853,1.5000,1.6803
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-425,2.0548,0.996032,low,175.79,0.998100,high,0.000000,invalid,2.8073,3.1162,1.7646,1.8852,1.5000,1.5548
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-450,2.1478,0.989257,low,200.79,0.998664,high,0.076579,medium,2.8212,3.0943,1.7734,1.8987,1.5000,1.6478
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-500,2.0601,0.990056,low,206.20,0.997837,high,0.000000,invalid,2.7812,3.0697,1.7778,1.9002,1.5000,1.5601
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4-Ar-425,2.5436,0.996825,low,391.22,0.999952,high,0.045008,high,2.7932,3.0004,2.1980,2.3591,1.5436,2.0436
cyanodefects/cyanodefects_data/cyanodefects_011_data,g-c3n4,2.5624,0.991432,low,234.11,0.999805,high,0.005878,high,2.7799,3.0306,2.2784,2.4520,1.5624,2.0624
cyanodefects/cyanodefects_data/cyanodefects_013_data,a,2.4702,0.992595,low,285.35,0.998055,high,0.032880,high,2.7970,3.0441,1.9280,2.1003,1.5000,1.9702
cyanodefects/cyanodefects_data/cyanodefects_013_data,b,2.6440,0.988598,low,555.28,0.999906,high,0.095097,high,2.8937,3.0817,2.3013,2.4512,1.6440,2.1440
cyanodefects/cyanodefects_data/cyanodefects_014_data,dcn-3,2.6724,0.989689,low,514.84,0.999969,high,0.010647,high,2.8237,3.1750,2.3991,2.5625,1.6724,2.1724
cyanodefects/cyanodefects_data/cyanodefects_014_data,g-c3n4,2.8991,0.949091,low,149.81,0.999917,high,0.000138,high,2.9326,3.2726,2.5400,2.8016,1.8991,2.3991
ndefects_data/ndefects_001_data,c3n4-cl05,2.6620,0.998934,medium,183.07,0.998197,high,0.000000,invalid,2.8334,3.0634,2.4543,2.5790,1.6620,2.1620
ndefects_data/ndefects_001_data,c3n4-cl2,2.6814,0.998719,medium,164.54,0.998782,high,0.000000,invalid,2.8642,3.0958,2.4721,2.5969,1.6814,2.1814
ndefects_data/ndefects_001_data,c3n4-cl4,2.6491,0.998599,medium,165.80,0.999377,high,0.000000,invalid,2.8504,3.0651,2.4413,2.5661,1.6491,2.1491
