folder,sample,E_g_eV,E_g_R2,E_g_conf,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,cluster
ndefects_001_data,c3n4-cl05,2.9282,0.998514,medium,190.78,0.999815,high,0.012233,high,2.9921,3.206,2.4899,2.6147,1.9282,2.4282,1
ndefects_001_data,c3n4-cl2,2.9503,0.998805,medium,195.22,0.99966,high,0.017892,high,3.0011,3.2028,2.5612,2.7765,1.9503,2.4503,1
ndefects_001_data,c3n4-cl4,2.9167,0.998562,medium,184.95,0.999837,high,0.011316,high,2.9606,3.1898,2.5483,2.673,1.9167,2.4167,1
ndefects_001_data,c3n4-cl5,2.9069,0.997348,medium,185.88,0.998239,high,0.01467,high,2.9536,3.1882,2.4102,2.7211,1.9069,2.4069,1
ndefects_001_data,c3n4-cl6,2.8725,0.998443,medium,196.78,0.999975,high,0.017926,high,2.9363,3.1801,2.5969,2.7216,1.8725,2.3725,1
ndefects_001_data,c3n4,2.9251,0.99873,medium,170.4,0.999873,high,0.012584,high,2.9759,3.1898,2.4948,2.6195,1.9251,2.4251,1
ndefects_002_data,02-p1-c3n4,3.2269,0.974955,low,383.25,0.999903,high,0.139232,high,3.3024,3.6045,2.8525,3.0149,2.2269,2.7269,0
ndefects_002_data,02-p2-c3n4,3.2088,0.970836,low,594.7,0.999474,high,0.098647,high,3.2886,3.5857,2.8878,3.053,2.2088,2.7088,-1
ndefects_002_data,08-p1-c3n4,3.2225,0.985502,low,383.92,0.999907,high,0.086648,high,3.2876,3.5928,2.8261,2.9885,2.2225,2.7225,0
ndefects_002_data,08-p2-c3n4,2.3942,0.995932,low,384.4,0.999781,high,0.082743,medium,2.5922,2.982,2.1375,2.2999,1.5,1.8942,-1
ndefects_002_data,32-p1-c3n4,3.228,0.98405,low,361.58,0.999656,high,0.106099,high,3.3025,3.6211,2.7552,2.9176,2.228,2.728,0
ndefects_002_data,32-p2-c3n4,2.3064,0.99784,medium,368.44,0.997018,high,0.086233,medium,2.5919,2.9817,2.0397,2.2022,1.5,1.8064,-1
ndefects_002_data,c3n4,3.0866,0.999419,high,290.27,0.999945,high,0.125327,high,3.1591,3.5069,2.566,2.7609,2.0866,2.5866,0
ndefects_002_data,g-c3n4,3.2303,0.989234,low,377.08,0.999906,high,0.178278,high,3.2951,3.6098,2.755,2.9174,2.2303,2.7303,-1
ndefects_003_data,11nhpo-c3n4,2.7818,0.998042,medium,287.56,0.999963,high,0.079097,high,2.8257,3.1441,2.5571,2.6955,1.7818,2.2818,3
