folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,baseline_corrected,baseline_delta,baseline_known_Eg,baseline_calibrator
cdefects_data/cdefects_001_data,cn-ap,2.5145,0.998848,high,3.0056,0.2000,310.61,0.999458,high,0.000172,0.000086,1.0000,high,2.7793,2.9793,2.1513,2.3640,1.8640,2.3640,1.8640,True,0.068650,2.7500,cdefects_001_abs_g-c3n4
cdefects_data/cdefects_001_data,cn-sp,2.6008,0.993437,medium,3.2217,0.1876,270.37,0.998250,high,0.000150,0.000075,1.0000,high,2.8245,3.0120,2.1274,2.3070,1.8070,2.3070,1.8070,True,0.068650,2.7500,cdefects_001_abs_g-c3n4
cdefects_data/cdefects_001_data,g-c3n4,2.6640,0.995781,medium,3.0489,0.2488,237.26,0.982225,medium,0.000356,0.000178,1.0000,high,2.7959,3.0447,2.4100,2.5721,2.0721,2.5721,2.0721,True,0.068650,2.7500,cdefects_001_abs_g-c3n4
cdefects_data/cdefects_002_data,u1-w0-cns,2.0933,0.998928,high,42.3673,0.2660,90.67,0.981090,medium,0.417384,0.086529,0.4146,low,2.8519,3.1180,1.8460,1.9837,1.7764,1.9837,1.4837,False,0.000000,0.0000,
cdefects_data/cdefects_003_data,bulk-g-c3n4,2.2609,0.993726,medium,2.4504,0.2642,195.69,0.999890,high,0.038192,0.019096,1.0000,high,2.7060,2.9702,1.9551,2.1180,1.6180,2.1180,1.6180,False,0.000000,0.0000,
cdefects_data/cdefects_003_data,g-c3n4-v,2.6601,0.985211,low,3.0364,0.2589,227.18,0.999863,high,0.020545,0.010272,1.0000,high,2.9147,3.1736,2.1705,2.3370,1.8370,2.3370,1.8370,False,0.000000,0.0000,
cdefects_data/cdefects_004_data,v-g-c3n4,2.6290,0.987477,low,2.3385,0.1935,643.66,0.999874,high,0.166700,0.083350,1.0000,high,2.9799,3.1734,2.3706,2.5467,2.0467,2.5467,2.0467,False,0.000000,0.0000,
cdefects_data/cdefects_006_data,scnnss,2.4667,0.999673,high,1.8859,0.3973,81.95,0.995195,high,0.080050,0.040025,1.0000,high,2.7737,3.1710,2.2565,2.3796,1.8796,2.3796,1.8796,False,0.000000,0.0000,
cdefects_data/cdefects_007_data,cn-at,2.1585,0.991967,medium,2.0453,0.3146,260.27,0.997308,high,0.056000,0.026909,0.9610,high,2.7460,3.0605,1.9074,2.0437,1.5631,2.0437,1.5437,False,0.000000,0.0000,
cdefects_data/cdefects_007_data,cn-atas,2.2601,0.998028,high,2.1219,0.3129,381.62,0.998402,high,0.074046,0.037023,1.0000,high,2.8369,3.1498,1.9477,2.0801,1.5801,2.0801,1.5801,False,0.000000,0.0000,
cdefects_data/cdefects_007_data,cn-mix1,2.1624,0.993449,medium,2.1746,0.2822,208.09,0.991305,medium,0.055600,0.027800,1.0000,high,2.7204,3.0025,1.8815,2.0647,1.5647,2.0647,1.5647,False,0.000000,0.0000,
cdefects_data/cdefects_007_data,cn-mix3,2.3203,0.979660,low,2.0791,0.3042,270.21,0.999904,high,0.060254,0.030127,1.0000,high,2.8512,3.1554,1.9779,2.1166,1.6166,2.1166,1.6166,False,0.000000,0.0000,
cdefects_data/cdefects_007_data,cn-mix5,2.2710,0.992015,medium,2.4472,0.3146,154.44,0.999444,high,0.059720,0.027791,0.9307,high,2.7568,3.0714,1.8960,2.0228,1.5575,2.0228,1.5228,False,0.000000,0.0000,
cdefects_data/cdefects_009_data,cv-g-c3n4,2.4229,0.998406,high,2.7371,0.1506,170.27,0.999536,high,0.128204,0.037543,0.5857,medium,2.7918,2.9424,1.9497,2.0732,1.7804,2.0732,1.5732,True,0.079233,2.7300,cdefects_009_abs_g-c3n4
cdefects_data/cdefects_009_data,g-c3n4,2.5033,0.998369,high,2.9683,0.1627,244.95,0.998451,high,0.000104,0.000052,1.0000,high,2.7897,2.9524,2.2410,2.4057,1.9057,2.4057,1.9057,True,0.079233,2.7300,cdefects_009_abs_g-c3n4
cdefects_data/cdefects_010_data,g-c3n4,2.5441,0.992825,medium,2.9378,0.2573,270.86,0.999213,high,0.011983,0.005992,1.0000,high,2.7595,3.0168,2.3184,2.4464,1.9464,2.4464,1.9464,False,0.000000,0.0000,
cdefects_data/cdefects_010_data,ns-g-c3n4,2.5363,0.998120,high,2.4609,0.2262,412.98,0.998811,high,0.064433,0.032217,1.0000,high,2.9455,3.1718,2.3251,2.4539,1.9539,2.4539,1.9539,False,0.000000,0.0000,
cdefects_data/cdefects_012_data,t500,2.4922,0.995754,medium,2.8708,0.2360,490.68,0.999931,high,0.097370,0.048685,1.0000,high,2.8099,3.0459,2.1582,2.3991,1.8991,2.3991,1.8991,False,0.000000,0.0000,
cdefects_data/cdefects_012_data,tn500,2.5769,0.995659,medium,3.0923,0.2397,516.44,0.999931,high,0.092163,0.046081,1.0000,high,2.8315,3.0713,2.1632,2.3399,1.8399,2.3399,1.8399,False,0.000000,0.0000,
cdefects_data/cdefects_013_data,bulk-cn,2.5131,0.994178,medium,3.1915,0.2350,226.10,0.999803,high,0.000520,0.000260,1.0000,high,2.7503,2.9853,2.2178,2.3408,1.8408,2.3408,1.8408,False,0.000000,0.0000,
cdefects_data/cdefects_013_data,bulk-cvcn,2.4261,0.995911,medium,3.1154,0.2156,286.57,0.999879,high,0.002749,0.001375,1.0000,high,2.7234,2.9390,2.0393,2.1873,1.6873,2.1873,1.6873,False,0.000000,0.0000,
cdefects_data/cdefects_014_data,g-c3n4,2.6954,0.996696,medium,3.5595,0.2097,204.00,0.999800,high,0.003306,0.001653,1.0000,high,2.8492,3.0590,2.2144,2.3946,1.8946,2.3946,1.8946,False,0.000000,0.0000,
cdefects_data/cdefects_014_data,h2-co2-pcn,2.6758,0.997500,high,3.0776,0.2381,309.15,0.999326,high,0.020565,0.010282,1.0000,high,2.9200,3.1582,2.3672,2.5485,2.0485,2.5485,2.0485,False,0.000000,0.0000,
cdefects_data/cdefects_015_data,un-cn,2.5685,0.988861,low,2.7951,0.3782,777.48,0.986970,medium,0.022626,0.011313,1.0000,high,2.7598,3.1380,2.0511,2.2440,1.7440,2.2440,1.7440,False,0.000000,0.0000,
cdefects_data/cdefects_016_data,bcn,2.3535,0.995878,medium,1.1848,0.2765,237.35,0.995091,high,0.024892,0.012446,1.0000,high,2.8799,3.1565,1.8186,2.2577,1.7577,2.2577,1.7577,False,0.000000,0.0000,
cdefects_data/cdefects_016_data,pdcn,2.4210,0.999064,high,1.3594,0.3264,254.47,0.999309,high,0.049387,0.024694,1.0000,high,2.8204,3.1468,2.1673,2.3292,1.8292,2.3292,1.8292,False,0.000000,0.0000,
cdefects_data/cdefects_016_data,s-cn,2.2450,0.997989,high,1.4315,0.2258,225.46,0.999729,high,0.061701,0.027140,0.8797,high,2.7210,2.9468,1.8530,1.9911,1.5513,1.9911,1.4911,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_003_data,coc30,2.3018,0.989597,low,1.9365,0.3065,287.80,0.998406,high,0.085426,0.041440,0.9702,high,2.9453,3.2518,1.8922,2.0372,1.5521,2.0372,1.5372,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_003_data,gcn,2.6265,0.994681,medium,3.1078,0.2677,254.06,0.999882,high,0.006279,0.003140,1.0000,high,2.8566,3.1243,2.1792,2.3738,1.8738,2.3738,1.8738,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_004_data,5bacn-c3n4,2.3936,0.993280,medium,2.1798,0.2328,139.40,0.999559,high,0.005893,0.002934,0.9959,high,2.8960,3.1288,2.0722,2.3014,1.8034,2.3014,1.8014,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_004_data,7bacn-c3n4,2.3273,0.991324,medium,1.9959,0.2423,141.04,0.999246,high,0.001545,0.000615,0.7957,medium,2.8983,3.1406,2.0457,2.1965,1.7987,2.1965,1.6965,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_005_data,ccn-003,2.3607,0.993556,medium,1.8590,0.2009,185.26,0.999963,high,0.087706,0.037803,0.8620,high,3.0700,3.2709,2.0635,2.2086,1.7776,2.2086,1.7086,True,0.015450,2.6600,cyanodefects_005_abs_g-c3n4
cyanodefects_data/cyanodefects_005_data,g-c3n4,2.6084,0.972267,low,1.8503,0.2239,367.86,0.999024,high,0.106067,0.053034,1.0000,high,3.1010,3.3249,2.3404,2.5019,2.0019,2.5019,2.0019,True,0.015450,2.6600,cyanodefects_005_abs_g-c3n4
cyanodefects_data/cyanodefects_007_data,cn-h,2.3540,0.990272,medium,2.2859,0.2982,264.65,0.998872,high,0.144106,0.064058,0.8890,high,2.7979,3.0961,1.8406,2.0064,1.5619,2.0064,1.5064,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_007_data,cn,2.4367,0.989225,low,3.0105,0.2258,247.02,0.998383,high,0.082502,0.041251,1.0000,high,2.7769,3.0027,1.9052,2.2219,1.7219,2.2219,1.7219,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_007_data,mm-h,2.3864,0.994658,medium,2.5812,0.2540,337.22,0.996620,high,0.152887,0.076443,1.0000,high,2.7712,3.0253,2.1101,2.2909,1.7909,2.2909,1.7909,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_010_data,bcn,2.5563,0.996616,medium,3.3326,0.2146,147.47,0.992253,medium,0.039494,0.012175,0.6165,medium,2.7722,2.9868,2.2566,2.3806,2.0723,2.3806,1.8806,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_010_data,ms-450,2.5737,0.998387,high,3.2978,0.2199,140.59,0.996132,high,0.055740,0.018895,0.6780,medium,2.8564,3.0763,2.2627,2.4171,2.0781,2.4171,1.9171,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_010_data,ms-500,2.5960,0.997944,high,5.4979,0.1339,163.47,0.996649,high,0.032204,0.013335,0.8282,high,2.7710,2.9049,2.3454,2.4870,2.0730,2.4870,1.9870,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_010_data,ms-600,2.7891,0.997349,high,3.5413,0.2167,268.91,0.998866,high,0.065927,0.032964,1.0000,high,3.0963,3.3130,2.5595,2.6960,2.1960,2.6960,2.1960,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-300,2.5113,0.994609,medium,3.0563,0.1994,410.91,0.999984,high,0.055205,0.027603,1.0000,high,2.8088,3.0083,2.2348,2.3720,1.8720,2.3720,1.8720,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-350,2.3649,0.994131,medium,2.2404,0.2353,350.13,0.999786,high,0.042462,0.021231,1.0000,high,2.8467,3.0820,2.1125,2.2346,1.7346,2.2346,1.7346,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-400,2.1803,0.993038,medium,1.7935,0.2816,279.71,0.999579,high,0.081306,0.040653,1.0000,high,2.8383,3.1199,1.9584,2.0853,1.5853,2.0853,1.5853,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-425,2.0548,0.996032,medium,1.5681,0.3089,175.79,0.998100,high,0.131648,0.043843,0.6661,medium,2.8073,3.1162,1.7646,1.8852,1.5522,1.8852,1.3852,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-450,2.1478,0.989257,low,1.8415,0.2732,200.79,0.998664,high,0.136990,0.047595,0.6949,medium,2.8212,3.0943,1.7734,1.8987,1.5512,1.8987,1.3987,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-500,2.0601,0.990056,medium,1.7079,0.2885,206.20,0.997837,high,0.160347,0.055962,0.6980,medium,2.7812,3.0697,1.7778,1.9002,1.5512,1.9002,1.4002,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4-Ar-425,2.5436,0.996825,medium,3.1686,0.2072,391.22,0.999952,high,0.049844,0.024922,1.0000,high,2.7932,3.0004,2.1980,2.3591,1.8591,2.3591,1.8591,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_011_data,g-c3n4,2.5624,0.991432,medium,3.3483,0.2506,234.11,0.999805,high,0.006614,0.003307,1.0000,high,2.7799,3.0306,2.2784,2.4520,1.9520,2.4520,1.9520,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_012_data,dcnns-002,2.1283,0.998172,high,2.3053,0.2351,156.34,0.993749,medium,0.000145,0.000059,0.8164,high,2.4721,2.7072,1.8377,1.9628,1.5546,1.9628,1.4628,True,0.108230,2.7700,cyanodefects_012_abs_cnns
cyanodefects_data/cyanodefects_012_data,dcnns-005,2.1160,0.996256,medium,2.4369,0.2031,94.07,0.990186,medium,0.000317,0.000151,0.9522,high,2.4666,2.6696,1.8974,2.0274,1.5513,2.0274,1.5274,True,0.108230,2.7700,cyanodefects_012_abs_cnns
cyanodefects_data/cyanodefects_012_data,dcnns-01,2.0197,0.996630,medium,2.0469,0.2162,203.70,0.999848,high,0.034871,0.012067,0.6921,medium,2.4762,2.6924,1.7633,1.8958,1.5497,1.8958,1.3958,True,0.108230,2.7700,cyanodefects_012_abs_cnns
cyanodefects_data/cyanodefects_013_data,a,2.4702,0.992595,medium,2.6268,0.2471,285.35,0.998055,high,0.037524,0.018762,1.0000,high,2.7970,3.0441,1.9280,2.1003,1.6003,2.1003,1.6003,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_013_data,b,2.6440,0.988598,low,3.4339,0.1880,555.28,0.999906,high,0.101447,0.050723,1.0000,high,2.8937,3.0817,2.3013,2.4512,1.9512,2.4512,1.9512,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_014_data,dcn-3,2.6724,0.989689,low,3.3012,0.3513,514.84,0.999969,high,0.014332,0.007166,1.0000,high,2.8237,3.1750,2.3991,2.5625,2.0625,2.5625,2.0625,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_014_data,g-c3n4,2.8991,0.949091,low,3.6151,0.3400,149.81,0.999917,high,0.000171,0.000086,1.0000,high,2.9326,3.2726,2.5400,2.8016,2.3016,2.8016,2.3016,False,0.000000,0.0000,
cyanodefects_data/cyanodefects_016_data,10kcn-b,2.6720,0.994291,medium,3.8218,0.1801,136.24,0.988579,medium,0.000196,0.000098,1.0000,high,2.8354,3.0155,2.3736,2.5760,2.0760,2.5760,2.0760,True,0.061621,2.7200,cyanodefects_016_abs_m1u3
cyanodefects_data/cyanodefects_016_data,10kmcn,2.4542,0.999455,high,2.8005,0.1831,213.19,0.999633,high,0.000052,0.000026,1.0000,high,2.7692,2.9524,2.0900,2.2453,1.7453,2.2453,1.7453,True,0.061621,2.7200,cyanodefects_016_abs_m1u3
cyanodefects_data/cyanodefects_016_data,mcn-b,2.3957,0.993558,medium,2.6997,0.1848,88.31,0.990714,medium,0.000546,0.000273,1.0000,high,2.7023,2.8871,2.0407,2.2452,1.7452,2.2452,1.7452,True,0.061621,2.7200,cyanodefects_016_abs_m1u3
cyanodefects_data/cyanodefects_016_data,mcn,2.4734,0.998885,high,2.8042,0.2442,56.07,0.985389,medium,0.000094,0.000047,1.0000,high,2.7308,2.9750,1.9899,2.1302,1.6302,2.1302,1.6302,True,0.061621,2.7200,cyanodefects_016_abs_m1u3
elementdoped_data/agdoped_001_data,ag-cn-1,2.3633,0.995148,medium,2.6383,0.1971,192.52,0.999984,high,0.011098,0.004591,0.8273,high,2.7552,2.9522,1.8404,1.9644,1.5508,1.9644,1.4644,True,0.074754,2.7200,agdoped_001_abs_cn1
elementdoped_data/agdoped_001_data,cn1,2.4536,0.984882,low,2.8603,0.2609,235.61,0.999842,high,0.000035,0.000018,1.0000,high,2.7172,2.9781,2.0480,2.1753,1.6753,2.1753,1.6753,True,0.074754,2.7200,agdoped_001_abs_cn1
elementdoped_data/cdoped_002_data,g-c3n4,2.6749,0.997361,high,3.2297,0.2835,216.61,0.989771,medium,0.000410,0.000205,1.0000,medium,2.8892,3.1727,2.2472,2.5750,2.0750,2.5750,2.0750,True,0.082946,2.7000,cdoped_002_abs_g-c3n4
