folder,sample,E_g_eV,E_g_R2,E_g_conf,edge_slope,transition_width,E_u_meV,E_u_R2,E_u_conf,A_sub,A_sub_raw,A_sub_coverage,A_sub_conf,E_g_region_start,E_g_region_end,E_u_region_start,E_u_region_end,A_sub_region_start,A_sub_region_end,A_sub_ideal_start,macro_cluster,macro_cluster_prob,sub_cluster,full_label
cdefects_data/cdefects_003_data,bulk-g-c3n4,2.2609,0.993726,low,2.4504,0.2642,195.69,0.99989,high,0.038192,0.019096,1.0,high,2.706,2.9702,1.9551,2.118,1.618,2.118,1.618,1,0.9999995890992452,0,B.1
cdefects_data/cdefects_003_data,g-c3n4-v,2.6601,0.985211,low,3.0364,0.2589,227.18,0.999863,high,0.020545,0.010272,1.0,high,2.9147,3.1736,2.1705,2.337,1.837,2.337,1.837,0,0.7582542682964194,0,A.1
cdefects_data/cdefects_004_data,v-g-c3n4,2.629,0.987477,low,2.3385,0.1935,643.66,0.999874,high,0.1667,0.08335,1.0,high,2.9799,3.1734,2.3706,2.5467,2.0467,2.5467,2.0467,1,1.0,1,B.2
cdefects_data/cdefects_006_data,scnnss,2.4667,0.999673,high,1.8859,0.3973,81.95,0.995195,high,0.08005,0.040025,1.0,high,2.7737,3.171,2.2565,2.3796,1.8796,2.3796,1.8796,1,1.0,0,B.1
cdefects_data/cdefects_007_data,cn-at,2.1585,0.991967,low,2.0453,0.3146,260.27,0.997308,high,0.056,0.026909,0.961,high,2.746,3.0605,1.9074,2.0437,1.5631,2.0437,1.5437,1,0.9999999999074207,0,B.1
cdefects_data/cdefects_007_data,cn-atas,2.2601,0.998028,medium,2.1219,0.3129,381.62,0.998402,high,0.074046,0.037023,1.0,high,2.8369,3.1498,1.9477,2.0801,1.5801,2.0801,1.5801,1,0.9999999999989457,0,B.1
cdefects_data/cdefects_007_data,cn-mix1,2.1624,0.993449,low,2.1746,0.2822,208.09,0.991305,medium,0.0556,0.0278,1.0,high,2.7204,3.0025,1.8815,2.0647,1.5647,2.0647,1.5647,1,0.9999999999954641,0,B.1
cdefects_data/cdefects_007_data,cn-mix3,2.3203,0.97966,low,2.0791,0.3042,270.21,0.999904,high,0.060254,0.030127,1.0,high,2.8512,3.1554,1.9779,2.1166,1.6166,2.1166,1.6166,1,0.9999999999636469,0,B.1
cdefects_data/cdefects_007_data,cn-mix5,2.271,0.992015,low,2.4472,0.3146,154.44,0.999444,high,0.05972,0.027791,0.9307,high,2.7568,3.0714,1.896,2.0228,1.5575,2.0228,1.5228,1,0.9999999999999862,0,B.1
cdefects_data/cdefects_010_data,g-c3n4,2.5441,0.992825,low,2.9378,0.2573,270.86,0.999213,high,0.011983,0.005992,1.0,high,2.7595,3.0168,2.3184,2.4464,1.9464,2.4464,1.9464,0,0.9558070311133278,0,A.1
cdefects_data/cdefects_010_data,ns-g-c3n4,2.5363,0.99812,medium,2.4609,0.2262,412.98,0.998811,high,0.064433,0.032217,1.0,high,2.9455,3.1718,2.3251,2.4539,1.9539,2.4539,1.9539,1,0.9999999991248454,1,B.2
cdefects_data/cdefects_012_data,t500,2.4922,0.995754,low,2.8708,0.236,490.68,0.999931,high,0.09737,0.048685,1.0,high,2.8099,3.0459,2.1582,2.3991,1.8991,2.3991,1.8991,1,1.0,1,B.2
cdefects_data/cdefects_012_data,tn500,2.5769,0.995659,low,3.0923,0.2397,516.44,0.999931,high,0.092163,0.046081,1.0,high,2.8315,3.0713,2.1632,2.3399,1.8399,2.3399,1.8399,1,0.9999999999999987,1,B.2
cdefects_data/cdefects_013_data,bulk-cn,2.5131,0.994178,low,3.1915,0.235,226.1,0.999803,high,0.00052,0.00026,1.0,high,2.7503,2.9853,2.2178,2.3408,1.8408,2.3408,1.8408,0,0.9654620440244558,0,A.1
cdefects_data/cdefects_013_data,bulk-cvcn,2.4261,0.995911,low,3.1154,0.2156,286.57,0.999879,high,0.002749,0.001375,1.0,high,2.7234,2.939,2.0393,2.1873,1.6873,2.1873,1.6873,0,0.895054414218651,0,A.1
cdefects_data/cdefects_014_data,g-c3n4,2.6954,0.996696,low,3.5595,0.2097,204.0,0.9998,high,0.003306,0.001653,1.0,high,2.8492,3.059,2.2144,2.3946,1.8946,2.3946,1.8946,0,0.9987443785440323,0,A.1
cdefects_data/cdefects_014_data,h2-co2-pcn,2.6758,0.9975,medium,3.0776,0.2381,309.15,0.999326,high,0.020565,0.010282,1.0,high,2.92,3.1582,2.3672,2.5485,2.0485,2.5485,2.0485,0,0.8862155594483558,0,A.1
cdefects_data/cdefects_015_data,un-cn,2.5685,0.988861,low,2.7951,0.3782,777.48,0.98697,medium,0.022626,0.011313,1.0,high,2.7598,3.138,2.0511,2.244,1.744,2.244,1.744,0,0.961697214658205,2,A.3
