article_id,filename,folder,title,sample_index,total_samples,sample_name,file_match,sample_type,co_precursor,dopant_element,synthesis_method,temperature_C,heating_rate_C_min,duration_bin,atmosphere,pre_treatment,post_treatment,defect_type,defect_formation_method,special_notes,precursor_family,calcination_temperature_bin,atmosphere_class,primary_route,defect_introduction_mode,dopant_class,morphology_form,drs_instrument,general_notes,extraction_status,error_message
cdefects/cdefects_003.pdf,cdefects_003.pdf,cdefects,Ultrathin g-C3N4 with enriched surface carbon vacancies enables highly efficient photocatalytic nitrogen fixation,1,2,bulk g-C3N4,bulk-g-c3n4,reference,none,none,thermal_polymerization,600.0,,4_8h,unknown,none,none,none,none,none,cyanamide,gt600,unknown,direct_thermal,none_or_baseline,none,bulk,"Shimadzu, UV-2450",The synthesis involves thermal polymerization of dicyandiamide with a two-step calcination process for defect introduction.,success,
cdefects/cdefects_003.pdf,cdefects_003.pdf,cdefects,Ultrathin g-C3N4 with enriched surface carbon vacancies enables highly efficient photocatalytic nitrogen fixation,2,2,g-C3N4-V,g-c3n4-v,defective,none,none,thermal_polymerization,530.0,5.0,4_8h,unknown,none,none,carbon vacancies,two_step_overcalcination,none,cyanamide,520_560,unknown,direct_thermal,two_step_overcalcination,none,porous_holey,"Shimadzu, UV-2450",The synthesis involves thermal polymerization of dicyandiamide with a two-step calcination process for defect introduction.,success,
cdefects/cdefects_004.pdf,cdefects_004.pdf,cdefects,Carbon vacancies improved photocatalytic hydrogen generation of g-C3N4 photocatalyst via magnesium vapor etching,1,2,pristine g-C3N4,,reference,none,none,thermal_polymerization,550.0,,gt8h,unknown,none,none,none,none,Synthesized by conventional polycondensation of urea.,urea,520_560,unknown,direct_thermal,none_or_baseline,none,bulk,"TU-1901, China",The study focuses on enhancing photocatalytic H2 generation by introducing carbon vacancies in g-C3N4 using magnesium vapor etching.,success,
cdefects/cdefects_004.pdf,cdefects_004.pdf,cdefects,Carbon vacancies improved photocatalytic hydrogen generation of g-C3N4 photocatalyst via magnesium vapor etching,2,2,Vc-g-C3N4,v-g-c3n4,defective,magnesium,none,other,675.0,10.0,lt2h,unknown,none,washed with 0.5 M HCl and ethanol,carbon vacancies,chemical_vapor_etching,Carbon vacancies introduced via magnesium vapor etching.,urea,gt600,unknown,direct_thermal,chemical_vapor_etching,none,nanosheets_ultrathin,"TU-1901, China",The study focuses on enhancing photocatalytic H2 generation by introducing carbon vacancies in g-C3N4 using magnesium vapor etching.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,1,8,CN-D,,reference,none,none,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,none,none,none,cyanamide,520_560,inert,direct_thermal,none_or_baseline,none,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,2,8,CN-T,,reference,none,none,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,none,none,none,thiourea,520_560,inert,direct_thermal,none_or_baseline,none,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,3,8,CN-M,,reference,none,none,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,none,none,none,melamine,520_560,inert,direct_thermal,none_or_baseline,none,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,4,8,CN-AT,cn-at,doped,none,S,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,C vacancies,dopant_induced,none,cyanamide,520_560,inert,direct_thermal,dopant_induced,nonmetal,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,5,8,CN-ATAS,cn-atas,doped,ammonium sulfate,S,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,C vacancies,dopant_induced,none,cyanamide,520_560,inert,direct_thermal,dopant_induced,nonmetal,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
cdefects/cdefects_007.pdf,cdefects_007.pdf,cdefects,Preparation of S-doped g-C3N4 with C vacancies using the desulfurized waste liquid extracting salt and its application for NOx removal,6,8,CN-MIX-1,cn-mix1,doped,ammonium thiosulfate,S,thermal_polymerization,550.0,3.0,4_8h,Ar,none,none,C vacancies,dopant_induced,none,cyanamide,520_560,inert,direct_thermal,dopant_induced,nonmetal,bulk,U-3900 UV–vis spectrophotometer,The synthesis involves thermal polymerization of various precursors with sulfur doping and carbon vacancies introduced through the use of ammonium thiocyanate and other sulfur-containing compounds.,success,
